CustomerID,Lookalikes
C0001,"[('C0072', 0.9847298141121051), ('C0190', 0.9833195344635149), ('C0069', 0.973187740690127)]"
C0002,"[('C0029', 0.9995029783722177), ('C0010', 0.9982864706620047), ('C0009', 0.9596265978651916)]"
C0003,"[('C0178', 0.9999609421392187), ('C0166', 0.9861306687308399), ('C0052', 0.9742456523256638)]"
C0004,"[('C0021', 0.9998131831759192), ('C0075', 0.9958541998914897), ('C0173', 0.9916234189625383)]"
C0005,"[('C0112', 0.9990160626934168), ('C0197', 0.9980477830130954), ('C0186', 0.9875165542934714)]"
C0006,"[('C0117', 0.9968329839201455), ('C0168', 0.978017704795296), ('C0185', 0.9507962895293305)]"
C0007,"[('C0120', 0.9978980813218982), ('C0140', 0.976882589463601), ('C0050', 0.9654459748010515)]"
C0008,"[('C0113', 0.9207155037967096), ('C0124', 0.9003170987992227), ('C0065', 0.8583534844117116)]"
C0009,"[('C0077', 0.9997771811425019), ('C0083', 0.9963557475165382), ('C0010', 0.9696439558149109)]"
C0010,"[('C0029', 0.9996349903733048), ('C0002', 0.9982864706620047), ('C0009', 0.9696439558149109)]"
C0011,"[('C0064', 0.9627460310212164), ('C0137', 0.9122486875027698), ('C0187', 0.8231510456972945)]"
C0012,"[('C0100', 0.9718482912791201), ('C0136', 0.9646696774181264), ('C0113', 0.9441598458546053)]"
C0013,"[('C0143', 0.98645557472999), ('C0099', 0.9842048959431481), ('C0053', 0.9689985229496566)]"
C0014,"[('C0151', 0.99635792341676), ('C0128', 0.9927861148590595), ('C0097', 0.9877863989375314)]"
C0015,"[('C0036', 0.9870668602848521), ('C0131', 0.9830707633218113), ('C0063', 0.9821826082700053)]"
C0016,"[('C0183', 0.9999319209170908), ('C0107', 0.9924361244478864), ('C0149', 0.9719849273574547)]"
C0017,"[('C0004', 0.9824668151340378), ('C0075', 0.9814423692235681), ('C0090', 0.9810564062117537)]"
C0018,"[('C0187', 0.9979029849082007), ('C0171', 0.9942836666945698), ('C0064', 0.9230678475266678)]"
C0019,"[('C0116', 0.979010247138896), ('C0047', 0.9234205404453808), ('C0118', 0.8347190097868487)]"
C0020,"[('C0140', 0.9836649316365503), ('C0095', 0.9363399631462681), ('C0120', 0.9355264965716789)]"
